Comment,Designator,Footprint,LCSC
18650 THT terminals mid-board bottom (MYOUNG BH-18650-A6AJ002),BT1,BatteryHolder_MYOUNG_A6AJ002,C19184085
10uF 25V,C1,C_0805_2012Metric,C440198
100nF 50V,"C2,C10,C11,C12,C14,C16,C19",C_0603_1608Metric,C14663
22uF 25V,"C3,C4,C5,C6",C_1206_3216Metric,C12891
220uF 25V,"C7,C8,C9",CP_Elec_8x10.5,C4747974
220pF 50V,C13,C_0603_1608Metric,C1603
10nF 25V,C17,C_0603_1608Metric,C57112
2.2uF 16V,C18,C_0805_2012Metric,C377773
100uF 10V,C20,CP_Elec_6.3x7.7,C2891567
SS34,"D1,D7,D8",D_SMA,C8678
MUR160,D2,D_SMB,C2940198
1N4148W,"D3,D4",D_SOD-123,C81598
BAT54W,"D5,D6,D9,D10",D_SOD-123,C7502705
polyfuse 2A,F1,Fuse_1812_4532Metric,C3102
piezo dock (1x2 socket),J1,PinSocket_1x02_P2.54mm_Vertical,
power switch dock (1x2 socket),J2,PinSocket_1x02_P2.54mm_Vertical,
"5V charge input (1x2 socket, ext micro-USB)",J3,PinSocket_1x02_P2.54mm_Vertical,
"coil dock: 1x4 right-angle header, outer pins only (7.62mm gap for 300V)",J4,PinHeader_1x04_P2.54mm_Horizontal,C32713263
OLED I2C dock (GH BM04B-GHS-TBT),J6,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
depth meter I2C dock (GH BM04B-GHS-TBT),J7,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
WS2812 LED dock (GH BM03B-GHS-TBT),J8,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,
debug UART (GH),J9,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,C54582898
22uH 3A,"L1,L2",L_Sunlord_SWPA8040S,C15857
AO3401A,Q1,SOT-23,C15127
FS8205A,Q2,TSSOP-8_4.4x3mm_P0.65mm,C5148694
STF10N60,Q3,TO-252-2,C2764050
STN1HNK60,"Q4,Q5,Q6",SOT-223,C39303
100k,"R1,R24,R25,R26,R49",R_0603_1608Metric,C25803
1k,"R2,R6,R20,R45,R47,R48",R_0603_1608Metric,C22548
100R,"R5,R16,R17,R18,R40",R_0603_1608Metric,C22775
1k2,R7,R_0603_1608Metric,C22765
191k,R8,R_0603_1608Metric,C22932
10k,"R9,R15,R41,R42,R43",R_0603_1608Metric,C98220
1k 2W,R10,R_2512_6332Metric,C175457
680R,R11,R_0603_1608Metric,C23228
330R,"R12,R30",R_0603_1608Metric,C23138
150R,R13,R_0603_1608Metric,C22808
140k,R14,R_0603_1608Metric,C185372
6k8,R21,R_0603_1608Metric,C23212
3k3,R22,R_0603_1608Metric,C22978
10R,R23,R_0603_1608Metric,C22859
4k7,"R31,R32",R_0603_1608Metric,C23162
9k1,R44,R_0603_1608Metric,C23260
TP4056,U1,SO-8_3.9x4.9mm_P1.27mm,C382139
DW01A,U2,SOT-23-6,C18164398
MT3608 12V,U3,SOT-23-6,C19189893
MT3608 9V,U4,SOT-23-6,C19189893
TC4427,U5,SOIC-8_3.9x4.9mm_P1.27mm,C20551
NE5534,U6,SOIC-8_3.9x4.9mm_P1.27mm,C49396707
MCP41010,U7,SOIC-8_3.9x4.9mm_P1.27mm,C136395
DRV8833PWP,U8,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm,C50506
TL072,U9,SOIC-8_3.9x4.9mm_P1.27mm,C5157710
Raspberry Pi Pico (socketed),U10,RPi_Pico_Socket,
