Designator,Mid X,Mid Y,Layer,Rotation
BT1,40.000000,-114.000000,Bottom,0.000000
C1,45.700000,-42.380000,Bottom,0.000000
C2,30.000000,-61.470000,Bottom,0.000000
C5,53.710000,-45.570000,Bottom,0.000000
D7,52.200000,-50.940000,Bottom,90.000000
F1,40.050000,-72.130000,Bottom,90.000000
J1,22.820000,-42.300000,Bottom,90.000000
J2,57.070000,-42.300000,Bottom,-90.000000
J3,41.230000,-42.300000,Bottom,90.000000
Q1,56.122500,-48.955000,Bottom,180.000000
Q4,54.560000,-162.390000,Bottom,-90.000000
Q5,47.030000,-162.390000,Bottom,-90.000000
Q6,39.610000,-162.390000,Bottom,-90.000000
R1,58.830000,-49.040000,Bottom,90.000000
R2,57.070000,-45.610000,Bottom,90.000000
R5,30.000000,-60.010000,Bottom,180.000000
R6,21.700000,-61.765000,Bottom,-90.000000
R7,33.830000,-49.420000,Bottom,180.000000
R10,50.830000,-173.410000,Bottom,0.000000
R11,39.760000,-168.420000,Bottom,90.000000
R12,46.990000,-168.420000,Bottom,90.000000
R13,54.190000,-168.420000,Bottom,90.000000
R16,52.620000,-155.900000,Bottom,-90.000000
R17,48.480000,-155.900000,Bottom,-90.000000
R18,38.610000,-155.900000,Bottom,-90.000000
R24,54.490000,-155.900000,Bottom,90.000000
R25,44.920000,-155.900000,Bottom,90.000000
R26,36.400000,-155.900000,Bottom,90.000000
U1,39.635000,-48.815000,Bottom,0.000000
U2,26.072500,-60.940000,Bottom,0.000000
C3,23.090000,-49.880000,Top,90.000000
C4,59.080000,-55.390000,Top,90.000000
C6,48.725000,-62.020000,Top,0.000000
C7,26.320000,-171.240000,Top,180.000000
C8,26.320000,-162.140000,Top,180.000000
C9,26.320000,-153.090000,Top,180.000000
C10,56.580000,-174.030000,Top,0.000000
C11,56.950000,-156.000000,Top,180.000000
C12,53.500000,-134.250000,Top,0.000000
C13,53.910000,-110.790000,Top,180.000000
C14,52.100000,-107.570000,Top,0.000000
C16,54.900000,-116.070000,Top,0.000000
C17,34.385000,-46.770000,Top,0.000000
C18,35.160000,-42.740000,Top,90.000000
C19,53.050000,-64.775000,Top,90.000000
C20,22.450000,-82.910000,Top,180.000000
D1,53.800000,-56.800000,Top,180.000000
D2,50.830000,-171.260000,Top,90.000000
D3,56.312000,-165.088000,Top,0.000000
D4,56.325000,-162.500000,Top,180.000000
D5,53.370000,-93.300000,Top,0.000000
D6,56.970000,-91.650000,Top,90.000000
D8,40.100000,-62.230000,Top,180.000000
D9,56.325000,-132.000000,Top,0.000000
D10,56.325000,-128.500000,Top,0.000000
J4,43.810000,-172.000000,Top,-90.000000
J6,21.960000,-112.200000,Top,90.000000
J7,21.960000,-121.665000,Top,90.000000
J8,21.960000,-103.360000,Top,90.000000
J9,57.480000,-72.290000,Top,90.000000
L1,45.610000,-55.200000,Top,-90.000000
L2,30.530000,-54.290000,Top,-90.000000
Q2,24.955000,-67.427500,Top,-90.000000
Q3,40.000000,-162.500000,Top,0.000000
R8,57.885000,-59.700000,Top,180.000000
R9,53.735000,-59.900000,Top,180.000000
R14,27.720000,-78.180000,Top,180.000000
R15,27.885000,-73.890000,Top,0.000000
R20,51.680000,-166.680000,Top,0.000000
R21,55.070000,-107.570000,Top,0.000000
R22,53.910000,-109.320000,Top,180.000000
R23,36.930000,-156.730000,Top,180.000000
R30,27.000000,-129.825000,Top,90.000000
R31,27.290000,-113.530000,Top,90.000000
R32,27.230000,-120.195000,Top,-90.000000
R40,57.195000,-149.250000,Top,0.000000
R41,55.825000,-146.500000,Top,180.000000
R42,51.900000,-119.500000,Top,90.000000
R43,54.915000,-114.550000,Top,0.000000
R44,53.820000,-104.220000,Top,0.000000
R45,53.870000,-105.950000,Top,180.000000
R47,57.040000,-105.820000,Top,0.000000
R48,57.195000,-135.500000,Top,0.000000
R49,57.000000,-151.000000,Top,0.000000
U3,38.440000,-54.922500,Top,90.000000
U4,22.830000,-74.062500,Top,-90.000000
U5,43.365000,-156.035000,Top,180.000000
U6,55.500000,-141.000000,Top,90.000000
U7,55.500000,-123.250000,Top,90.000000
U8,29.315000,-44.605000,Top,0.000000
U9,55.405000,-98.505000,Top,90.000000
U10,39.890000,-114.000000,Top,0.000000
